Aboub, o Generoso
Amlullabeye, o Sonhador
Aperóbico, o Dinâmico
Arachma, o Grego
Arachnanjo, o esperançoso
Arachnguerreiro, o ?????
Aracknekros, o Agressivo
Arakula, o Capturador
Areportair, o Espectador
Bambeto, o Santo
Bambotinho, o Quieto
Barbaflor, o Corrompido
Barbrossim, o Chefe
Barkricrack, o Instável
Biblocadinho, o Careca
Bibloponey, o Anfitrião
Biblopopo, o Organizado
Bilbpblop, o Grande
Blopal, o Precioso
Blopium, o Delirante
Blopulento, o Pretensioso
Blorchid, o Grandioso
Blorko, o Colorido
Boolu, o Besta
Boombora, o Perigoso
Branco de Neve, o Puro
Bulbalua, o Trombeteiro
Bulbisônico, o Penetrante
Bulbushisu, o Coberto
Bulgigrado, o Dançarino
Bworak, o Boêmio
Bworkorder, o Sábio
Calipzoth, o Gelado
Camelelux, o Tolerante
Camiona, o Viajante
Camufoso, o Desconhecido
Canarie, o Inconseqüente
Caniedoss, o Risonho
Canimanta, o Devorador
Caniranda, o Maníaco
Canirlote, o Magrelo
Caranha, Dragão
Caranhâ, o Comerciante
Caranhaco, o Fritador de peixes
Caranhado, o Sábio
Caranhoso, o Suplicante
Chafaldraga, o Gracioso
Chaferanho, o Essencial
Chafermentado, o Eufórico
Chaferotix, o Nonagésimo sexto
Chaferupção, o Vulcânico
Chafred, o Peixe
Chukoalak, o Norris
Codemonic, o Abastado
Coguveloz, o Coredor
Corvomanion, o Primitivo
Crabaramis, o Único
Crabartanio, o Singular
Crabathos, o Para
Craborthos, o Todas
Crackedral, a Majestade
Cracklerod, o Ancião
Crackoalak, o Loiro
Crackrockiscri, o Tigre
Crackrodilrock the Helltune
Croccyx, o Ocioso
Crokdylann, o Rebelde
Dandel, o Garoto
Dokterquem, o Transportador
Don Quizothe the Stubborn
Dragamemnon, o Destroçador
Dragangora, a Sutil
Dragaustin, o Poderoso
Dragcasa, o Cínico
Dragonetele, o Disfarçado
Dragoochicote, o Extasiado
Dragorio, o Robusto
Dragorsso, o Selvagem
Dragoskovit, o Descalço
Dragospel, o Rubro
Dragossipo, o resmungão
Dragostino, o Minúsculo
Dragotitis, o Penoso
Dragovsky, o ChamadoDeCisne
Drakoamax, o Mal
Drakokidoki, o Voluntário
Dregatão, o Latino
Dregercheen, o musicista
Dregog, o Neozolandês
Dregoliz, o Macho
Dregomon, o Mastigador
Dregoniz, o Ousado
Dregonzola, o queijoso
Dregquântico, o Treinador
Dregriado, o Pianista
Dregumpi, o Anão
Edcogumunch, o Berrador
Emboscador Azarado
Escorbisão, o Solitário
Eskoko, o Nobre
Ezothbeitor, o Vizinho
Ferrético, o Golpeador
Floramodovar, o encaroçado
Floratio, o Investigador
Follikoko, o Alcolchoado
Frengassa, o Bonitão
Fung Ku, o Mestre
Ganon, o Pigmeu
Gargoyla,
Ghostabrava, o Turista
Ginsync, o Hiperativo
Glukoko, o Lento
Gobbach, ContraTrocadilho
Gobbalada, o Romântico
Gobbalirro, o Barulhento
Gobbalki, o Teimoso
Goblimpo, o Kid Biscoito
Grabbito, o Corredor
Gransnakizanami, o Soberano
Greedodoff, o Cavalheiro
Hazwonbola, o Enfadonho
Iniolho, o Narcisista
Jackellinton, o Abóbora
Jackoalak, o Espetacular
Jackoalak, o Lunático
Javalino, o Brilhante
Javalisso, o Avermelhado
Jeleposucato, o Magro
Jelleno, o Desafortunado
Jellvis, o Rei
Jiminicrackler, o Consciente
Kidodo, o Extinto
Kilua, o Infiltrador
Kirevampiro, o Rival
Kitchi, o Raspador
Kitsewei, o Azul
Kitsouie, o Verde
Kitsuei, o Vermelho
Koalakarquiteto, o Equilibrado
Koalakropolis, o Rei das Colinas
Koald, o Brilhante
Koald, o Irritado
Koali, o Ocioso
Koalsen, o Parecido
Koelogue, o Criador
Kojaclator, o Desmancha Prazer
Kokonam, o Tagarela
Koleraspotin, o Insensível
Krabaoli, o Paciente
Kwoanium, o Esperto
Ladinamite, o Explosivo
Ladinosujo, o Desarrumado
Larvadelaide, o Infantil
Larvalaska, o Frio
Larvalencia, o Laranja
Leopardon, o Sentido
Leorio, o Assombrado
Lert Macraken, o Chorão Acomodado
Lorde the Vampiric
Lupisnóquio, o Lobo Amadeirado
MamãeKalak, a Bibliomaníaca
Matcogucogu, o Faiscante
McWhabbit, o Inflexível
Mililibum, o Delator
Miliopoldo, o Fracassado
Milivanilli, o Mímico
Minocnoc, o Visitante
Minoskitou, o Colorido
Miomaho, o Siciliano
Misskokoko, o Chanel
MoMaho, o Modernista
Moops, o Garoto Bolha
Mopés, o Redodndo
Mopidik the Mire
Moskoitos, o Interruptor
Mufavabemz, o Canibal
Mushdrill, o Furador
Mushulieta the Catapuleta
Nabucodonozor, o Consquistador
Nidsally, o Selvagem
Niptuk the Plasticínio
Oniolho, o Ridículo
Osurcus, o Domador
Ouassingiam, o Déspota
Ouassingue, o Perdido
Ouassup, o Irritante
Ougatarda, o Bem-aventurado
Padeiro das Tumbas
Palmei, o Herbívoro
Palmela, o Robusto
Palmipiloto, o Bem-sucedido
Palmofolha, o Gorduroso
Pandora, o Explorador
Pandali, o Surreal
Pandaltri, o Desconhecido
Pandan, o Desesperado
Pandartametal, o Atrativo
Pandarwin, o Naturalista
Pandipoope, o Fantástico
Pandoraclo, o Lado Obscuro da Força
Pandumonium, o Cômico
Pighatchoo, o Elétrico
Piktoven, o Surdo
Piralhaka, o Intimidador
Piwi, o Emplumado
Piwicker, o Macho
Piwigem, o Chefe
Piwiki, o Genial
Piwiliam, o Valente
Piwinston, o Rude
Pocher o Reiponga.
Polterghaisk, a Alma Perdida
Popoalak, o Castanho
Porcaladino, o Imundo
Porcostola, o Insinuante
Porcotaça, útil
Presruela, o Lutador
Prikoko, o Estúpido
Quetnin, o Fictício
Ratalo, o Ativo
Ratatuli, o Intrigante
Ratilla, o Huno
Raul Modrid, o Chulo
Rib, o Despedaçado
Rolls de Royce
Romush, o Montecchi
Rosana, a Nórdica
Ryukualak, o Entediado
Salamaa, a Dominadora de Maridos
Satonuki, o Plastificado
Scarabroso, o Pequeno
Scaraflorido, o Contador de Lorotas
Scarafolhado, o Beliscador
Scarafolhoso, o Destruidor
Scaramato, o Carrasco
Serpico, o Honesto
Snailmetalica, Interiorano
Snapoalak, o Ruivo
Sorgyo, o Tagarelox de Corox
Sparodi, o Peçonhento
Spicogugodon, o cabeludo
Spicoguia, o Viajante
Spicogukitaro, o Leal
Spicoguti, o Fedorento
Stewart, o Animal Pescador
Supergwass, o Livre
Suzessmano, o Entusiasmado
Tanako, o Observador
Tanno, o Dominador
Tanukhiraru, o Talentoso
Tanukhuina, o Puxador
TanuKiki, o Fantasma Livre
Tanuktonico, o Tantan
Tartacalo, o Chifrudo
Tartanime, o Experiente
Tartatapa, o Fechado
Tartenaldo, o Dramático
Tiwaldo, o Escondido
Tiwana, o Sinal
Tiwascal, o Coberto
Tofudo, o Caçador
Tofulo, the Otimista
Tofulsom, o Carcereiro
Treekalack, o Triste
Treekness, o Preto
Treekniddioo, o Indigente
Treeknidylus
Treekonk, o Abalado
Treekstabalo, o Psíquico
Treektamak, o Escandaloso
Trooligan the Bulldogg
Trumpanor, o Sobrevivente
Trunkbardo, o Gentil
Vamp, o Empalador
Wabbin, o Rico
Wabbitor, o Capaz
Warazpacho, the Cherrilla
Warko, o Escurecido
Worka, o Determinado
Wowalker, o Egípcio
Xamãsselo, o Absorto
Yokai, o Corista
Yoksai, o Corajoso
Zigzoth, o Indeciso
Zorrose, o Messicano
Zouzoth, o Carinhoso
