Amlullabeye, o Sonhador - 1
Arachma, o Grego - 1
Biblocadinho, o Careca - 3
Bibloponey, o Anfitrião - 1
Bilbpblop, o Grande - 1
Blorko, o Colorido - 1
Bulbalua, o Trombeteiro - 1
Bulbushisu, o Coberto - 6
Caranhâ, o Comerciante - 2
Caranhado, o Sábio - 1
Chafred, o Peixe - 2
Chukoalak, o Norris - 1
Codemonic, o Abastado - 1
Coguveloz, o Coredor - 2
Corvomanion, o Primitivo - 1
Crabaramis, o Único - 1
Craborthos, o Todas - 1
Crackedral, a Majestade - 1
Crackrockiscri, o Tigre - 1
Dokterquem, o Transportador - 1
Drakoamax, o Mal - 3
Dregoliz, o Macho - 1
Dregriado, o Pianista - 6
Dregumpi, o Anão - 1
Emboscador Azarado - 3
Ferrético, o Golpeador - 3
Floramodovar, o encaroçado - 1
Gargoyla, - 2
Ghostabrava, o Turista - 1
Glukoko, o Lento - 1
Gobbach, ContraTrocadilho - 4
Gobbalada, o Romântico - 1
Gobbalirro, o Barulhento - 1
Gobbalki, o Teimoso - 1
Jackoalak, o Espetacular - 1
Javalino, o Brilhante - 2
Javalisso, o Avermelhado - 2
Jeleposucato, o Magro - 4
Jiminicrackler, o Consciente - 2
Kitchi, o Raspador - 2
Koald, o Irritado - 1
Koelogue, o Criador - 1
Kojaclator, o Desmancha Prazer - 2
Ladinamite, o Explosivo - 1
Larvadelaide, o Infantil - 1
Lert Macraken, o Chorão Acomodado - 3
Matcogucogu, o Faiscante - 3
Mililibum, o Delator - 2
Minocnoc, o Visitante - 1
Minoskitou, o Colorido - 2
Moops, o Garoto Bolha - 1
Mopidik the Mire - 2
Moskoitos, o Interruptor - 1
Osurcus, o Domador - 1
Ougatarda, o Bem-aventurado - 3
Padeiro das Tumbas - 4
Pandan, o Desesperado - 5
Pandipoope, o Fantástico - 2
Piwi, o Emplumado - 4
Piwinston, o Rude - 1
Pocher o Reiponga. - 5
Popoalak, o Castanho - 2
Raul Modrid, o Chulo - 2
Rosana, a Nórdica - 1
Salamaa, a Dominadora de Maridos - 2
Scarabroso, o Pequeno - 1
Snapoalak, o Ruivo - 2
Spicogugodon, o cabeludo - 2
Spicoguia, o Viajante - 1
Spicoguti, o Fedorento - 2
Tanno, o Dominador - 1
Tanukhuina, o Puxador - 1
Tartacalo, o Chifrudo - 3
Tartanime, o Experiente - 3
Tartatapa, o Fechado - 1
Tartenaldo, o Dramático - 2
Tiwaldo, o Escondido - 2
Tiwascal, o Coberto - 2
Treekness, o Preto - 1
Trooligan the Bulldogg - 1
Vamp, o Empalador - 2
Wabbitor, o Capaz - 3
Warko, o Escurecido - 1
Xamãsselo, o Absorto - 1
Yoksai, o Corajoso - 3
Zorrose, o Messicano - 3
