Aboub, o Generoso - 0
Amlullabeye, o Sonhador - 1
Aperóbico, o Dinâmico - 0
Arachma, o Grego - 1
Arachnanjo, o esperançoso - 0
Arachnguerreiro, o ????? - 0
Aracknekros, o Agressivo - 0
Arakula, o Capturador - 1
Areportair, o Espectador - 0
Bambeto, o Santo - 0
Bambotinho, o Quieto - 0
Barbaflor, o Corrompido - 1
Barbrossim, o Chefe - 1
Barkricrack, o Instável - 1
Biblocadinho, o Careca - 1
Bibloponey, o Anfitrião - 0
Biblopopo, o Organizado - 1
Bilbpblop, o Grande - 1
Blopal, o Precioso - 0
Blopium, o Delirante - 0
Blopulento, o Pretensioso - 0
Blorchid, o Grandioso - 0
Blorko, o Colorido - 1
Boolu, o Besta - 0
Boombora, o Perigoso - 0
Branco de Neve, o Puro - 0
Bulbalua, o Trombeteiro - 1
Bulbisônico, o Penetrante - 0
Bulbushisu, o Coberto - 1
Bulgigrado, o Dançarino - 0
Bworak, o Boêmio - 1
Bworkorder, o Sábio - 0
Calipzoth, o Gelado - 1
Camelelux, o Tolerante - 0
Camiona, o Viajante - 1
Camufoso, o Desconhecido - 1
Canarie, o Inconseqüente - 0
Caniedoss, o Risonho - 0
Canimanta, o Devorador - 0
Caniranda, o Maníaco - 0
Canirlote, o Magrelo - 0
Caranha, Dragão - 0
Caranhâ, o Comerciante - 1
Caranhaco, o Fritador de peixes - 0
Caranhado, o Sábio - 1
Caranhoso, o Suplicante - 0
Chafaldraga, o Gracioso - 0
Chaferanho, o Essencial - 0
Chafermentado, o Eufórico - 0
Chaferotix, o Nonagésimo sexto - 0
Chaferupção, o Vulcânico - 0
Chafred, o Peixe - 1
Chukoalak, o Norris - 1
Codemonic, o Abastado - 1
Coguveloz, o Coredor - 1
Corvomanion, o Primitivo - 1
Crabaramis, o Único - 1
Crabartanio, o Singular - 0
Crabathos, o Para - 0
Craborthos, o Todas - 1
Crackedral, a Majestade - 1
Cracklerod, o Ancião - 0
Crackoalak, o Loiro - 0
Crackrockiscri, o Tigre - 1
Crackrodilrock the Helltune - 0
Croccyx, o Ocioso - 0
Crokdylann, o Rebelde - 1
Dandel, o Garoto - 1
Dokterquem, o Transportador - 1
Don Quizothe the Stubborn - 0
Dragamemnon, o Destroçador - 1
Dragangora, a Sutil - 1
Dragaustin, o Poderoso - 1
Dragcasa, o Cínico - 1
Dragonetele, o Disfarçado - 0
